filename,exercise,group,equipment,panels,position_hint
larsen-press.png,Larsen Press,Chest,Barbell,2 (start | end),Legs straight/raised — no leg drive / Keep the upper-back set; lower to chest
archer-push-up.png,Archer Push-Up,Chest,Bodyweight,2 (start | end),Wide hands; shift weight to one side as you lower / Other arm stays straight like a bow string
dumbbell-floor-press.png,Dumbbell Floor Press,Chest,Dumbbell,2 (start | end),"Lower until upper arms touch the floor / Pause, stay tight, then press"
deficit-push-up.png,Deficit Push-Up,Chest,Bodyweight,2 (start | end),Hands on plates/handles so chest drops below hands / Go into the extra stretch slowly
pull-up-wide-grip-pronated.png,"Pull-Up (Wide Grip, Pronated)",Back,Bodyweight,2 (start | end),"Start from a dead hang, shoulders pulled down first / Drive elbows down toward your back pockets"
chin-up-supinated-grip.png,Chin-Up (Supinated Grip),Back,Bodyweight,2 (start | end),"Palms facing you, shoulder-width grip / Pull the chest to the bar, elbows close"
lat-pulldown-wide-grip.png,Lat Pulldown (Wide Grip),Back,Cable,2 (start | end),"Thighs locked under the pads, slight lean back / Pull the bar to the upper chest, elbows down and back"
lat-pulldown-close-grip-neutral.png,"Lat Pulldown (Close Grip, Neutral)",Back,Cable,2 (start | end),"Neutral handle, sit tall with a slight lean / Pull to the upper chest, elbows tight to your sides"
barbell-bent-over-row-overhand.png,Barbell Bent-Over Row (Overhand),Back,Barbell,2 (start | end),"Hinge to ~45°, flat back, knees soft / Pull the bar to your lower chest/upper belly"
barbell-bent-over-row-underhand.png,Barbell Bent-Over Row (Underhand),Back,Barbell,2 (start | end),"Palms up, hinge with a flat back / Row to the belly button, elbows close"
dumbbell-one-arm-row.png,Dumbbell One-Arm Row,Back,Dumbbell,2 (start | end),"Hand and knee on a bench, flat back / Pull the dumbbell toward your hip, not your armpit"
seated-cable-row-close-grip.png,Seated Cable Row (Close Grip),Back,Cable,2 (start | end),"Sit tall, slight knee bend, chest up / Row to the belly, squeeze the shoulder blades together"
t-bar-row.png,T-Bar Row,Back,Barbell,2 (start | end),"Hinge with a flat back over the bar / Row to the chest/belly, elbows at ~45°"
chest-supported-row-machine.png,Chest-Supported Row (Machine),Back,Machine,2 (start | end),"Chest on the pad, feet planted / Pull elbows back past your torso"
chest-supported-row-dumbbell.png,Chest-Supported Row (Dumbbell),Back,Dumbbell,2 (start | end),"Chest on an incline bench, arms hanging / Row elbows back, squeezing the blades"
straight-arm-cable-pulldown.png,Straight-Arm Cable Pulldown,Back,Cable,2 (start | end),"Slight hinge, arms nearly straight / Sweep the bar down to your thighs using the lats"
barbell-deadlift-conventional.png,Barbell Deadlift (Conventional),Back,Barbell,2 (start | end),"Bar over mid-foot, shins close, hips between knees and shoulders / Brace, pull the slack out, push the floor away"
barbell-deadlift-sumo.png,Barbell Deadlift (Sumo),Back,Barbell,2 (start | end),"Wide stance, toes out, grip inside the knees / Push the knees out and chest up before pulling"
back-extension-hyperextension.png,Back Extension (Hyperextension),Back,Bodyweight,2 (start | end),"Pad at the hip crease, not the belly / Hinge down with a neutral spine"
barbell-shrug.png,Barbell Shrug,Back,Barbell,2 (start | end),"Stand tall, arms straight / Shrug straight up toward the ears"
dumbbell-shrug.png,Dumbbell Shrug,Back,Dumbbell,2 (start | end),"Dumbbells at your sides, arms straight / Shrug straight up and hold briefly"
face-pull.png,Face Pull,Back,Cable,2 (start | end),"Rope at face height, thumbs toward you / Pull to the face, elbows high and wide"
meadows-row-landmine.png,Meadows Row (Landmine),Back,Barbell,2 (start | end),"Staggered stance, side-on to the bar end / Row with an overhand grip, elbow flared a bit"
inverted-row-bodyweight.png,Inverted Row (Bodyweight),Back,Bodyweight,2 (start | end),"Body straight under a bar, heels down / Pull the chest to the bar"
renegade-row-dumbbell.png,Renegade Row (Dumbbell),Back,Dumbbell,2 (start | end),"Push-up position on dumbbells, feet wide / Row one side without twisting the hips"
pendlay-row-barbell.png,Pendlay Row (Barbell),Back,Barbell,2 (start | end),Torso nearly parallel to the floor / Explode the bar to the lower chest
trap-bar-deadlift.png,Trap Bar Deadlift,Back,Barbell,2 (start | end),"Stand centered in the bar, handles in line with feet / Hips lower than a conventional pull, chest up"
rack-pull.png,Rack Pull,Back,Barbell,2 (start | end),Bar set at or just below the knees / Same setup as a deadlift: brace and push the floor
superman-prone-back-extension.png,Superman (Prone Back Extension),Back,Bodyweight,2 (start | end),"Lie face down, arms overhead / Lift arms, chest and legs a few inches"
reverse-hyperextension-machine.png,Reverse Hyperextension (Machine),Back,Machine,2 (start | end),"Hips on the edge of the pad, hold the handles / Swing the legs up with the glutes, not momentum"
farmer-s-carry.png,Farmer's Carry,Back,Dumbbell,2 (start | end),"Heavy weights at your sides, stand tall / Short quick steps, shoulders down and back"
scapular-pull-up.png,Scapular Pull-Up,Back,Bodyweight,2 (start | end),Dead hang with straight arms / Pull the shoulder blades down without bending elbows
single-arm-lat-pulldown-cable.png,Single-Arm Lat Pulldown (Cable),Back,Cable,2 (start | end),"Kneel or sit side-on, arm fully stretched overhead / Pull the elbow down to your side"
wide-grip-seated-cable-row.png,Wide-Grip Seated Cable Row,Back,Cable,2 (start | end),"Wide bar, sit tall / Row to the lower chest, elbows out ~60°"
deficit-deadlift.png,Deficit Deadlift,Back,Barbell,2 (start | end),"Stand on a 1–3"" platform / Same brace as a deadlift, hips a bit lower"
snatch-grip-deadlift.png,Snatch-Grip Deadlift,Back,Barbell,2 (start | end),"Very wide grip, hips lower than normal / Keep the chest up and back flat"
seal-row.png,Seal Row,Back,Barbell,2 (start | end),Lie face down on a high bench / Row the bar/dumbbells to the bench
neutral-grip-pull-up.png,Neutral-Grip Pull-Up,Back,Bodyweight,2 (start | end),"Palms facing each other on parallel handles / Pull the chest up, elbows close to your sides"
kroc-row.png,Kroc Row,Back,Dumbbell,2 (start | end),Heavy one-arm dumbbell row with a bit of body English / High reps; keep the back flat
banded-pull-apart.png,Banded Pull-Apart,Back,Bands,2 (start | end),Arms straight at shoulder height / Pull the band apart until it touches the chest
barbell-overhead-press-standing.png,Barbell Overhead Press (Standing),Shoulders,Barbell,2 (start | end),"Grip just outside shoulders, squeeze glutes and abs / Move the head back, press the bar straight up"
dumbbell-shoulder-press-seated.png,Dumbbell Shoulder Press (Seated),Shoulders,Dumbbell,2 (start | end),"Back against the pad, dumbbells at ear level / Press up and slightly in"
dumbbell-shoulder-press-incline-60.png,Dumbbell Shoulder Press (Incline 60°),Shoulders,Dumbbell,2 (start | end),"Back on a 60° bench, weights at shoulder level / Press up in line with the torso"
machine-shoulder-press.png,Machine Shoulder Press,Shoulders,Machine,2 (start | end),Handles start at shoulder height / Press up without locking out hard
arnold-press.png,Arnold Press,Shoulders,Dumbbell,2 (start | end),Start palms facing you in front of the face / Rotate palms out as you press up
barbell-push-press.png,Barbell Push Press,Shoulders,Barbell,2 (start | end),"Short knee dip, torso upright / Drive with the legs, finish with the arms"
pike-push-up.png,Pike Push-Up,Shoulders,Bodyweight,2 (start | end),"Hips high, body in an upside-down V / Lower the head toward the floor in front of hands"
landmine-shoulder-press.png,Landmine Shoulder Press,Shoulders,Barbell,2 (start | end),"Half-kneeling or standing, bar at the shoulder / Press up and forward, reaching at the top"
front-raise-dumbbell.png,Front Raise (Dumbbell),Shoulders,Dumbbell,2 (start | end),"Slight elbow bend, palms down / Raise to eye level, no higher"
dumbbell-lateral-raise.png,Dumbbell Lateral Raise,Shoulders,Dumbbell,2 (start | end),"Slight forward lean, soft elbows / Lead with the elbows out to the sides"
cable-lateral-raise.png,Cable Lateral Raise,Shoulders,Cable,2 (start | end),Cable crosses in front of the body from a low pulley / Raise out to shoulder height
machine-lateral-raise.png,Machine Lateral Raise,Shoulders,Machine,2 (start | end),Pads on the outside of the upper arms / Raise to shoulder height leading with elbows
barbell-upright-row.png,Barbell Upright Row,Shoulders,Barbell,2 (start | end),Grip at least shoulder width / Pull elbows up and out to chest height
cable-upright-row.png,Cable Upright Row,Shoulders,Cable,2 (start | end),"Rope or bar on a low pulley, wide grip / Lead with the elbows to chest height"
cuban-press.png,Cuban Press,Shoulders,Dumbbell,2 (start | end),Upright row to elbows at 90° / Rotate the forearms up (external rotation)
bent-over-rear-delt-raise-dumbbell.png,Bent-Over Rear Delt Raise (Dumbbell),Shoulders,Dumbbell,2 (start | end),"Hinge with a flat back, arms hanging / Raise out to the sides, pinkies slightly up"
reverse-pec-deck-machine.png,Reverse Pec Deck (Machine),Shoulders,Machine,2 (start | end),"Chest against the pad, handles at shoulder height / Sweep the arms back in an arc"
cable-rear-delt-fly.png,Cable Rear Delt Fly,Shoulders,Cable,2 (start | end),"Cross the cables, arms at shoulder height / Pull out and back in a wide arc"
incline-y-raise-dumbbell.png,Incline Y-Raise (Dumbbell),Shoulders,Dumbbell,2 (start | end),"Chest on an incline bench, thumbs up / Raise the arms into a Y overhead"
z-press.png,Z Press,Shoulders,Barbell,2 (start | end),"Sit on the floor, legs straight / Press overhead with no back support"
handstand-push-up.png,Handstand Push-Up,Shoulders,Bodyweight,2 (start | end),"Against a wall, hands just wider than shoulders / Lower the head to the floor in a tripod"
behind-the-neck-press.png,Behind-the-Neck Press,Shoulders,Barbell,2 (start | end),"Only if you have good shoulder mobility / Lower the bar to the base of the skull, no further"
lean-away-cable-lateral-raise.png,Lean-Away Cable Lateral Raise,Shoulders,Cable,2 (start | end),"Hold a post, lean away from the cable / Raise to shoulder height"
chest-supported-dumbbell-reverse-fly.png,Chest-Supported Dumbbell Reverse Fly,Shoulders,Dumbbell,2 (start | end),Chest on an incline bench / Raise the arms out to the sides
scarecrow-dumbbell.png,Scarecrow (Dumbbell),Shoulders,Dumbbell,2 (start | end),"Elbows at shoulder height, forearms hanging / Rotate forearms up to vertical"
w-raise-dumbbell.png,W-Raise (Dumbbell),Shoulders,Dumbbell,2 (start | end),"Chest on an incline bench, elbows bent / Pull back into a W shape, squeezing the blades"
wide-grip-rear-delt-row-cable.png,Wide-Grip Rear Delt Row (Cable),Shoulders,Cable,2 (start | end),"Wide grip, elbows flared to shoulder height / Row to the upper chest"
single-arm-cable-front-raise.png,Single-Arm Cable Front Raise,Shoulders,Cable,2 (start | end),Cable from a low pulley behind you / Raise to eye level with a slight elbow bend
kettlebell-shoulder-press.png,Kettlebell Shoulder Press,Shoulders,Kettlebell,2 (start | end),"Bell resting in the rack position / Press up, rotating the palm forward"
plate-front-raise.png,Plate Front Raise,Shoulders,Other,2 (start | end),Hold a plate at 3 and 9 o’clock / Raise to eye level
resistance-band-lateral-raise.png,Resistance Band Lateral Raise,Shoulders,Bands,2 (start | end),"Stand on the band, handles at sides / Raise to shoulder height"
kettlebell-halo.png,Kettlebell Halo,Shoulders,Kettlebell,2 (start | end),Hold the bell upside down by the horns / Circle it slowly around the head
barbell-curl-straight-bar.png,Barbell Curl (Straight Bar),Biceps,Barbell,2 (start | end),Elbows pinned at your sides / Curl without swinging the hips
ez-bar-curl.png,EZ-Bar Curl,Biceps,Barbell,2 (start | end),Grip the angled parts of the bar / Elbows stay still at your sides
dumbbell-curl-standing-supinating.png,"Dumbbell Curl (Standing, Supinating)",Biceps,Dumbbell,2 (start | end),"Start palms in, rotate palms up as you curl / Keep elbows by your sides"
incline-dumbbell-curl.png,Incline Dumbbell Curl,Biceps,Dumbbell,2 (start | end),"Lie back on a 45–60° bench, arms hanging / Curl without bringing elbows forward"
preacher-curl-barbell-ez-bar.png,Preacher Curl (Barbell/EZ-Bar),Biceps,Barbell,2 (start | end),Armpits snug to the top of the pad / Lower to almost straight — don't hyperextend
preacher-curl-dumbbell.png,Preacher Curl (Dumbbell),Biceps,Dumbbell,2 (start | end),One arm at a time over the pad / Control the bottom of the rep
hammer-curl-dumbbell.png,Hammer Curl (Dumbbell),Biceps,Dumbbell,2 (start | end),Palms facing each other the whole rep / Elbows at your sides
cross-body-hammer-curl.png,Cross-Body Hammer Curl,Biceps,Dumbbell,2 (start | end),"Neutral grip, curl across toward the opposite shoulder / Keep the elbow close to the body"
cable-curl-straight-bar.png,Cable Curl (Straight Bar),Biceps,Cable,2 (start | end),"Stand close to the pulley, elbows at sides / Curl up, squeeze"
cable-curl-rope-hammer-grip.png,"Cable Curl (Rope, Hammer Grip)",Biceps,Cable,2 (start | end),Neutral grip on the rope / Curl up and split the rope slightly at the top
concentration-curl.png,Concentration Curl,Biceps,Dumbbell,2 (start | end),"Seated, elbow braced against the inner thigh / Curl up and squeeze"
reverse-curl-barbell-pronated-grip.png,"Reverse Curl (Barbell, Pronated Grip)",Biceps,Barbell,2 (start | end),"Palms down, shoulder-width grip / Curl up keeping wrists straight"
spider-curl.png,Spider Curl,Biceps,Barbell,2 (start | end),"Chest on an incline bench, arms hanging straight down / Curl up with no shoulder movement"
zottman-curl.png,Zottman Curl,Biceps,Dumbbell,2 (start | end),Curl up palms up / Rotate to palms down at the top
machine-bicep-curl.png,Machine Bicep Curl,Biceps,Machine,2 (start | end),"Elbows lined up with the machine pivot / Full range, squeeze at the top"
drag-curl-barbell.png,Drag Curl (Barbell),Biceps,Barbell,2 (start | end),"Drag the bar up your torso / Elbows travel back, not forward"
overhead-cable-curl-bayesian-curl.png,Overhead Cable Curl (Bayesian Curl),Biceps,Cable,2 (start | end),"Face away from a low pulley, arm behind you / Curl forward keeping the elbow back"
wide-grip-barbell-curl.png,Wide-Grip Barbell Curl,Biceps,Barbell,2 (start | end),"Hands wider than shoulders / Elbows at sides, no swing"
band-curl.png,Band Curl,Biceps,Bands,2 (start | end),"Stand on the band, palms up / Curl up; tension peaks at the top"
single-arm-cable-curl-low-pulley.png,Single-Arm Cable Curl (Low Pulley),Biceps,Cable,2 (start | end),"Stand side-on or facing the pulley / Curl up, elbow fixed"
close-grip-ez-bar-curl.png,Close-Grip EZ-Bar Curl,Biceps,Barbell,2 (start | end),Grip the inner angles of the bar / Elbows at sides
seated-incline-hammer-curl.png,Seated Incline Hammer Curl,Biceps,Dumbbell,2 (start | end),"Lie back on an incline bench, neutral grip / Curl without moving the elbows forward"
high-cable-curl-peak-contraction.png,High Cable Curl (Peak Contraction),Biceps,Cable,2 (start | end),Arms out to the sides at shoulder height / Curl the handles toward your head
waiter-s-curl-dumbbell.png,Waiter's Curl (Dumbbell),Biceps,Dumbbell,2 (start | end),Hold one dumbbell flat by the plate end with both palms / Curl up keeping it level
barbell-21s.png,Barbell 21s,Biceps,Barbell,2 (start | end),"7 reps bottom half, 7 top half, 7 full range / Elbows at your sides throughout"
cable-pushdown-straight-bar.png,Cable Pushdown (Straight Bar),Triceps,Cable,2 (start | end),Elbows pinned to your sides / Push down to full lockout
cable-pushdown-rope.png,Cable Pushdown (Rope),Triceps,Cable,2 (start | end),"Elbows at sides, rope at chest height / Push down and spread the rope apart at the bottom"
overhead-cable-triceps-extension.png,Overhead Cable Triceps Extension,Triceps,Cable,2 (start | end),"Face away from the pulley, rope behind the head / Extend the arms forward and up"
overhead-dumbbell-triceps-extension-two-hand.png,Overhead Dumbbell Triceps Extension (Two-Hand),Triceps,Dumbbell,2 (start | end),"Hold one dumbbell overhead with both hands / Lower behind the head, elbows pointing up"
single-arm-overhead-dumbbell-extension.png,Single-Arm Overhead Dumbbell Extension,Triceps,Dumbbell,2 (start | end),Elbow points up next to the head / Lower the dumbbell behind the head
skull-crusher-ez-bar-to-forehead.png,"Skull Crusher (EZ-Bar, to Forehead)",Triceps,Barbell,2 (start | end),"Upper arms vertical, only the elbows bend / Lower the bar to just above the forehead"
skull-crusher-incline-behind-head.png,"Skull Crusher (Incline, Behind Head)",Triceps,Barbell,2 (start | end),Upper arms angled slightly back / Lower the bar behind the head
close-grip-bench-press.png,Close-Grip Bench Press,Triceps,Barbell,2 (start | end),Grip about shoulder width / Elbows tucked close to the body
dip-triceps-focused-upright-torso.png,"Dip (Triceps-Focused, upright torso)",Triceps,Bodyweight,2 (start | end),"Torso upright, elbows back / Lower until elbows reach ~90°"
triceps-kickback-dumbbell.png,Triceps Kickback (Dumbbell),Triceps,Dumbbell,2 (start | end),"Hinge forward, upper arm parallel to the floor / Extend the forearm straight back"
cable-triceps-kickback.png,Cable Triceps Kickback,Triceps,Cable,2 (start | end),"Hinge forward, cable from a low pulley / Upper arm fixed, extend back"
jm-press.png,JM Press,Triceps,Barbell,2 (start | end),"Close grip, lower the bar toward the chin/throat / Elbows point forward, halfway between press and skull crusher"
machine-triceps-extension.png,Machine Triceps Extension,Triceps,Machine,2 (start | end),Elbows lined up with the machine pivot / Extend fully
bench-dip.png,Bench Dip,Triceps,Bodyweight,2 (start | end),"Hands on a bench behind you, legs out / Lower until elbows are ~90°"
tate-press.png,Tate Press,Triceps,Dumbbell,2 (start | end),"Dumbbells over the chest, elbows flared / Lower the dumbbells toward the chest by bending elbows"
v-bar-cable-pushdown.png,V-Bar Cable Pushdown,Triceps,Cable,2 (start | end),Elbows pinned to sides / Push down to lockout
reverse-grip-underhand-cable-pushdown.png,Reverse-Grip (Underhand) Cable Pushdown,Triceps,Cable,2 (start | end),Palms up on the bar / Elbows at sides; push down
single-arm-cable-pushdown.png,Single-Arm Cable Pushdown,Triceps,Cable,2 (start | end),"One handle, elbow at side / Extend fully and squeeze"
ez-bar-overhead-triceps-extension-french-press.png,EZ-Bar Overhead Triceps Extension (French Press),Triceps,Barbell,2 (start | end),"Seated, bar overhead / Lower behind the head, elbows pointing up"
close-grip-push-up-diamond.png,Close-Grip Push-Up (Diamond),Triceps,Bodyweight,2 (start | end),Hands together under the chest / Elbows back close to the ribs
machine-assisted-triceps-dip.png,Machine-Assisted Triceps Dip,Triceps,Machine,2 (start | end),"Knees on the pad; more weight = more help / Upright torso, elbows back"
machine-overhead-triceps-extension.png,Machine Overhead Triceps Extension,Triceps,Machine,2 (start | end),Seat set so elbows line up with the pivot / Extend overhead fully
skull-crusher-dumbbell-flat.png,"Skull Crusher (Dumbbell, Flat)",Triceps,Dumbbell,2 (start | end),"Neutral grip, upper arms vertical / Lower the dumbbells beside the head"
skull-crusher-decline-to-forehead.png,"Skull Crusher (Decline, to Forehead)",Triceps,Barbell,2 (start | end),"Decline bench, upper arms vertical / Lower to the forehead"
close-grip-smith-machine-bench-press.png,Close-Grip Smith Machine Bench Press,Triceps,Machine,2 (start | end),"Grip about shoulder width, elbows tucked / Bench placed so the bar lands on the lower chest"
cross-body-cable-triceps-extension.png,Cross-Body Cable Triceps Extension,Triceps,Cable,2 (start | end),Cable from the opposite side at shoulder height / Extend the arm across the body
resistance-band-triceps-pushdown.png,Resistance Band Triceps Pushdown,Triceps,Bands,2 (start | end),"Band anchored high / Elbows at sides, push down to lockout"
barbell-wrist-curl-palms-up.png,Barbell Wrist Curl (Palms Up),Forearms,Barbell,2 (start | end),"Forearms on thighs or a bench, wrists hanging off / Let the bar roll to the fingers, then curl up"
barbell-wrist-extension-palms-down.png,Barbell Wrist Extension (Palms Down),Forearms,Barbell,2 (start | end),"Forearms supported, palms down / Lift the back of the hands up"
dumbbell-wrist-curl.png,Dumbbell Wrist Curl,Forearms,Dumbbell,2 (start | end),"Forearm on the bench, palm up / Curl the wrist up"
dumbbell-wrist-extension.png,Dumbbell Wrist Extension,Forearms,Dumbbell,2 (start | end),"Forearm on the bench, palm down / Raise the back of the hand"
dead-hang.png,Dead Hang,Forearms,Bodyweight,2 (start | end),"Grip the bar, arms straight / Shoulders slightly engaged, not fully relaxed"
behind-the-back-barbell-wrist-curl.png,Behind-the-Back Barbell Wrist Curl,Forearms,Barbell,2 (start | end),"Stand with the bar behind you, palms back / Curl the wrists up"
plate-pinch-hold.png,Plate Pinch Hold,Forearms,Other,2 (start | end),Pinch two plates smooth-side out / Hold at your side
barbell-back-squat.png,Barbell Back Squat,Legs,Barbell,2 (start | end),"Bar on the upper back, brace before you descend / Knees track over toes; sit between your heels"
barbell-front-squat.png,Barbell Front Squat,Legs,Barbell,2 (start | end),"Bar on the front delts, elbows high / Stay upright; sit straight down"
goblet-squat.png,Goblet Squat,Legs,Dumbbell,2 (start | end),"Hold the weight at your chest, elbows down / Sit down between your knees, chest tall"
leg-press.png,Leg Press,Legs,Machine,2 (start | end),"Feet shoulder-width, mid-platform / Lower until knees are ~90° without the lower back rounding"
hack-squat-machine.png,Hack Squat (Machine),Legs,Machine,2 (start | end),"Back flat on the pad, feet shoulder-width / Descend deep with control"
leg-extension.png,Leg Extension,Legs,Machine,2 (start | end),Knee lined up with the machine pivot / Extend fully and squeeze the quads
walking-lunge-dumbbell.png,Walking Lunge (Dumbbell),Legs,Dumbbell,2 (start | end),"Long step, torso upright / Back knee drops toward the floor"
bulgarian-split-squat.png,Bulgarian Split Squat,Legs,Dumbbell,2 (start | end),"Rear foot on a bench, front foot far enough forward / Drop straight down, front knee over the foot"
sumo-squat-dumbbell.png,Sumo Squat (Dumbbell),Legs,Dumbbell,2 (start | end),"Wide stance, toes turned out / Hold the dumbbell hanging between the legs"
barbell-romanian-deadlift.png,Barbell Romanian Deadlift,Legs,Barbell,2 (start | end),"Soft knees, push the hips back / Bar slides down the thighs, back flat"
dumbbell-romanian-deadlift.png,Dumbbell Romanian Deadlift,Legs,Dumbbell,2 (start | end),Dumbbells in front of the thighs / Hinge at the hips with a flat back
lying-leg-curl-machine.png,Lying Leg Curl (Machine),Legs,Machine,2 (start | end),"Knees just off the pad edge, hips pressed down / Curl the heels toward the glutes"
seated-leg-curl-machine.png,Seated Leg Curl (Machine),Legs,Machine,2 (start | end),"Knee lined up with the pivot, thigh pad snug / Curl down fully"
good-morning-barbell.png,Good Morning (Barbell),Legs,Barbell,2 (start | end),"Bar on the upper back, soft knees / Hinge forward with a flat back"
nordic-hamstring-curl.png,Nordic Hamstring Curl,Legs,Bodyweight,2 (start | end),"Heels anchored, kneel upright / Lower forward as slowly as possible"
standing-calf-raise-machine.png,Standing Calf Raise (Machine),Legs,Machine,2 (start | end),"Balls of the feet on the edge / Full stretch at the bottom, pause"
seated-calf-raise-machine.png,Seated Calf Raise (Machine),Legs,Machine,2 (start | end),Pad on the lower thighs / Deep stretch at the bottom
